시도명,선거인수,투표수,후보자별 득표수(득표율),,,,,,,,,,,,,,,"무효
투표수",기권수
,,,"더불어민주당
문재인","자유한국당
홍준표","국민의당
안철수","바른정당
유승민","정의당
심상정","새누리당
조원진","경제애국당
오영국",,"국민대통합당
장성민","늘푸른한국당
이재오","민중연합당
김선동","한국국민당
이경희","홍익당
윤홍식","무소속
김민찬",계,,
합계  ,"42,479,710  ","32,807,908  ","13,423,800
(41.08)  ","7,852,849
(24.03)  ","6,998,342
(21.41)  ","2,208,771
(6.76)  ","2,017,458
(6.17)  ","42,949
(0.13)  ","6,040
(0.01)  ",,"21,709
(0.06)  ","9,140
(0.02)  ","27,229
(0.08)  ","11,355
(0.03)  ","18,543
(0.05)  ","33,990
(0.10)  ","32,672,175  ","135,733  ","9,671,802  "
서울특별시  ,"8,382,999  ","6,590,646  ","2,781,345
(42.34)  ","1,365,285
(20.78)  ","1,492,767
(22.72)  ","476,973
(7.26)  ","425,459
(6.47)  ","9,987
(0.15)  ","789
(0.01)  ",,"3,554
(0.05)  ","1,938
(0.02)  ","3,416
(0.05)  ","1,277
(0.01)  ","2,177
(0.03)  ","3,950
(0.06)  ","6,568,917  ","21,729  ","1,792,353  "
부산광역시  ,"2,950,224  ","2,261,633  ","872,127
(38.71)  ","720,484
(31.98)  ","378,907
(16.82)  ","162,480
(7.21)  ","109,329
(4.85)  ","2,651
(0.11)  ","276
(0.01)  ",,"1,316
(0.05)  ","465
(0.02)  ","981
(0.04)  ","496
(0.02)  ","1,041
(0.04)  ","2,156
(0.09)  ","2,252,709  ","8,924  ","688,591  "
대구광역시  ,"2,043,276  ","1,581,347  ","342,620
(21.76)  ","714,205
(45.36)  ","235,757
(14.97)  ","198,459
(12.60)  ","74,440
(4.72)  ","4,057
(0.25)  ","259
(0.01)  ",,"563
(0.03)  ","324
(0.02)  ","804
(0.05)  ","401
(0.02)  ","986
(0.06)  ","1,501
(0.09)  ","1,574,376  ","6,971  ","461,929  "
인천광역시  ,"2,409,031  ","1,820,091  ","747,090
(41.20)  ","379,191
(20.91)  ","428,888
(23.65)  ","118,691
(6.54)  ","129,925
(7.16)  ","2,646
(0.14)  ","374
(0.02)  ",,"1,618
(0.08)  ","410
(0.02)  ","1,230
(0.06)  ","594
(0.03)  ","625
(0.03)  ","1,681
(0.09)  ","1,812,963  ","7,128  ","588,940  "
광주광역시  ,"1,166,901  ","957,321  ","583,847
(61.14)  ","14,882
(1.55)  ","287,222
(30.08)  ","20,862
(2.18)  ","43,719
(4.57)  ","152
(0.01)  ","111
(0.01)  ",,"655
(0.06)  ","103
(0.01)  ","2,265
(0.23)  ","136
(0.01)  ","264
(0.02)  ","614
(0.06)  ","954,832  ","2,489  ","209,580  "
대전광역시  ,"1,220,602  ","945,897  ","404,545
(42.93)  ","191,376
(20.30)  ","218,769
(23.21)  ","59,820
(6.34)  ","63,669
(6.75)  ","1,069
(0.11)  ","168
(0.01)  ",,"620
(0.06)  ","234
(0.02)  ","611
(0.06)  ","256
(0.02)  ","406
(0.04)  ","758
(0.08)  ","942,301  ","3,596  ","274,705  "
울산광역시  ,"941,093  ","744,960  ","282,794
(38.14)  ","203,602
(27.46)  ","128,520
(17.33)  ","60,289
(8.13)  ","62,187
(8.38)  ","829
(0.11)  ","128
(0.01)  ",,"575
(0.07)  ","240
(0.03)  ","641
(0.08)  ","220
(0.02)  ","411
(0.05)  ","926
(0.12)  ","741,362  ","3,598  ","196,133  "
세종특별자치시  ,"189,421  ","152,801  ","77,767
(51.08)  ","23,211
(15.24)  ","32,010
(21.02)  ","9,192
(6.03)  ","9,353
(6.14)  ","153
(0.10)  ","34
(0.02)  ",,"88
(0.05)  ","42
(0.02)  ","126
(0.08)  ","50
(0.03)  ","76
(0.04)  ","135
(0.08)  ","152,237  ",564  ,"36,620  "
경기도  ,"10,262,309  ","7,916,009  ","3,319,812
(42.08)  ","1,637,345
(20.75)  ","1,807,308
(22.91)  ","540,023
(6.84)  ","546,373
(6.92)  ","10,778
(0.13)  ","1,302
(0.01)  ",,"5,058
(0.06)  ","1,858
(0.02)  ","6,139
(0.07)  ","2,213
(0.02)  ","2,883
(0.03)  ","6,553
(0.08)  ","7,887,645  ","28,364  ","2,346,300  "
강원도  ,"1,287,173  ","955,885  ","324,768
(34.16)  ","284,909
(29.97)  ","206,840
(21.75)  ","65,278
(6.86)  ","62,389
(6.56)  ","1,426
(0.15)  ","252
(0.02)  ",,"787
(0.08)  ","321
(0.03)  ","876
(0.09)  ","570
(0.05)  ","870
(0.09)  ","1,350
(0.14)  ","950,636  ","5,249  ","331,288  "
충청북도  ,"1,303,688  ","975,441  ","374,806
(38.61)  ","255,502
(26.32)  ","211,454
(21.78)  ","57,282
(5.90)  ","65,095
(6.70)  ","1,153
(0.11)  ","308
(0.03)  ",,"722
(0.07)  ","421
(0.04)  ","840
(0.08)  ","686
(0.07)  ","943
(0.09)  ","1,347
(0.13)  ","970,559  ","4,882  ","328,247  "
충청남도  ,"1,711,912  ","1,240,204  ","476,661
(38.62)  ","306,614
(24.84)  ","290,216
(23.51)  ","68,521
(5.55)  ","83,868
(6.79)  ","1,415
(0.11)  ","324
(0.02)  ",,"1,148
(0.09)  ","429
(0.03)  ","1,260
(0.10)  ","803
(0.06)  ","1,025
(0.08)  ","1,662
(0.13)  ","1,233,946  ","6,258  ","471,708  "
전라북도  ,"1,525,626  ","1,205,794  ","778,747
(64.84)  ","40,231
(3.34)  ","285,467
(23.76)  ","30,802
(2.56)  ","59,296
(4.93)  ","451
(0.03)  ","240
(0.01)  ",,"1,080
(0.08)  ","345
(0.02)  ","1,186
(0.09)  ","499
(0.04)  ","589
(0.04)  ","2,070
(0.17)  ","1,201,003  ","4,791  ","319,832  "
전라남도  ,"1,572,838  ","1,238,738  ","737,921
(59.87)  ","30,221
(2.45)  ","378,179
(30.68)  ","25,819
(2.09)  ","49,509
(4.01)  ","454
(0.03)  ","272
(0.02)  ",,"1,319
(0.10)  ","315
(0.02)  ","3,817
(0.30)  ","839
(0.06)  ","782
(0.06)  ","2,965
(0.24)  ","1,232,412  ","6,326  ","334,100  "
경상북도  ,"2,249,984  ","1,711,627  ","369,726
(21.73)  ","827,237
(48.62)  ","253,905
(14.92)  ","149,017
(8.75)  ","88,080
(5.17)  ","3,053
(0.17)  ","476
(0.02)  ",,"1,054
(0.06)  ","861
(0.05)  ","1,308
(0.07)  ","1,068
(0.06)  ","2,942
(0.17)  ","2,499
(0.14)  ","1,701,226  ","10,401  ","538,357  "
경상남도  ,"2,744,633  ","2,135,055  ","779,731
(36.73)  ","790,491
(37.24)  ","284,272
(13.39)  ","142,479
(6.71)  ","113,051
(5.32)  ","2,290
(0.10)  ","458
(0.02)  ",,"1,240
(0.05)  ","721
(0.03)  ","1,394
(0.06)  ","1,011
(0.04)  ","2,234
(0.10)  ","3,267
(0.15)  ","2,122,639  ","12,416  ","609,578  "
제주특별자치도  ,"518,000  ","374,459  ","169,493
(45.51)  ","68,063
(18.27)  ","77,861
(20.90)  ","22,784
(6.11)  ","31,716
(8.51)  ","385
(0.10)  ","269
(0.07)  ",,"312
(0.08)  ","113
(0.03)  ","335
(0.08)  ","236
(0.06)  ","289
(0.07)  ","556
(0.14)  ","372,412  ","2,047  ","143,541  "