,광역시도,시도,구분,인구수,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,20-39세,65세이상
1,,,남자,25827594.0,1877127.0,1682988.0,1806754,2045265.0,1072395.0,806680.0,600607,319391.0,113221.0,32695.0,7658,4137.0,7412134.0,2956784.0
2,,,여자,25868622.0,1663934.0,1534379.0,1711114,1971007.0,1164950.0,974549.0,857283,589739.0,302943.0,108793.0,27186,13425.0,6880434.0,4038868.0
4,,,남자,4876789.0,347534.0,372249.0,402358,410076.0,211568.0,163766.0,112076,54033.0,19595.0,6146.0,1900,1406.0,1532217.0,570490.0
5,,,여자,5053827.0,343194.0,379724.0,401149,407391.0,237388.0,186814.0,139885,87616.0,46472.0,18007.0,5158,4069.0,1531458.0,725409.0
6,,종로구,합계,152737.0,11379.0,11891.0,10684,10379.0,7411.0,6636.0,5263,3104.0,1480.0,602.0,234,220.0,44333.0,24950.0
7,,,남자,75201.0,5620.0,6181.0,5387,5034.0,3411.0,3009.0,2311,1289.0,506.0,207.0,89,73.0,22222.0,10895.0
8,,,여자,77536.0,5759.0,5710.0,5297,5345.0,4000.0,3627.0,2952,1815.0,974.0,395.0,145,147.0,22111.0,14055.0
9,,중구,합계,125249.0,8216.0,9529.0,10332,10107.0,6399.0,5313.0,4127,2502.0,1260.0,469.0,158,160.0,38184.0,20388.0
10,,,남자,62204.0,4142.0,4792.0,5192,5221.0,3113.0,2405.0,1752,929.0,414.0,132.0,56,51.0,19347.0,8852.0
11,,,여자,63045.0,4074.0,4737.0,5140,4886.0,3286.0,2908.0,2375,1573.0,846.0,337.0,102,109.0,18837.0,11536.0
12,,용산구,합계,230241.0,14317.0,16972.0,19032,19127.0,10675.0,9093.0,7477,4553.0,2254.0,916.0,264,315.0,69448.0,35547.0
13,,,남자,111601.0,6937.0,8373.0,9455,9434.0,4834.0,3975.0,3094,1739.0,750.0,284.0,102,88.0,34199.0,14866.0
14,,,여자,118640.0,7380.0,8599.0,9577,9693.0,5841.0,5118.0,4383,2814.0,1504.0,632.0,162,227.0,35249.0,20681.0
15,,성동구,합계,299259.0,20813.0,23383.0,25507,25979.0,12938.0,10734.0,7989,4450.0,1944.0,678.0,209,198.0,95682.0,39140.0
16,,,남자,148326.0,10609.0,11848.0,12692,13154.0,6090.0,4863.0,3480,1698.0,580.0,184.0,56,54.0,48303.0,17005.0
17,,,여자,150933.0,10204.0,11535.0,12815,12825.0,6848.0,5871.0,4509,2752.0,1364.0,494.0,153,144.0,47379.0,22135.0
18,,광진구,합계,357215.0,27368.0,32092.0,32302,29496.0,14402.0,11300.0,8121,4349.0,2029.0,689.0,228,174.0,121258.0,41292.0
19,,,남자,174797.0,13317.0,15555.0,16034,14875.0,6775.0,5376.0,3693,1609.0,631.0,170.0,54,37.0,59781.0,18345.0
20,,,여자,182418.0,14051.0,16537.0,16268,14621.0,7627.0,5924.0,4428,2740.0,1398.0,519.0,174,137.0,61477.0,22947.0
21,,동대문구,합계,355069.0,26261.0,27808.0,27277,28095.0,17506.0,14867.0,11008,5926.0,2577.0,887.0,288,242.0,109441.0,53301.0
22,,,남자,177640.0,13162.0,14859.0,14140,14489.0,8237.0,6815.0,4950,2375.0,801.0,248.0,87,68.0,56650.0,23581.0
23,,,여자,177429.0,13099.0,12949.0,13137,13606.0,9269.0,8052.0,6058,3551.0,1776.0,639.0,201,174.0,52791.0,29720.0
24,,중랑구,합계,411005.0,28727.0,29833.0,32277,32632.0,19957.0,15415.0,10783,5784.0,2596.0,896.0,257,154.0,123469.0,55842.0
25,,,남자,204900.0,14676.0,14784.0,16607,17248.0,9448.0,7189.0,4879,2214.0,667.0,211.0,57,37.0,63315.0,24702.0
26,,,여자,206105.0,14051.0,15049.0,15670,15384.0,10509.0,8226.0,5904,3570.0,1929.0,685.0,200,117.0,60154.0,31140.0
27,,성북구,합계,450355.0,32372.0,32003.0,32154,35029.0,20618.0,17629.0,13312,7284.0,3279.0,1099.0,352,305.0,131558.0,63878.0
28,,,남자,219951.0,15761.0,16229.0,16075,17424.0,9402.0,7979.0,5825,2856.0,978.0,287.0,87,78.0,65489.0,27492.0
29,,,여자,230404.0,16611.0,15774.0,16079,17605.0,11216.0,9650.0,7487,4428.0,2301.0,812.0,265,227.0,66069.0,36386.0
30,,강북구,합계,327195.0,22058.0,21374.0,22650,24750.0,18172.0,15323.0,11103,5654.0,2373.0,842.0,256,241.0,90832.0,53964.0
31,,,남자,160861.0,11206.0,10737.0,11838,12998.0,8084.0,6836.0,4961,2313.0,731.0,219.0,66,63.0,46779.0,23273.0
32,,,여자,166334.0,10852.0,10637.0,10812,11752.0,10088.0,8487.0,6142,3341.0,1642.0,623.0,190,178.0,44053.0,30691.0
33,,도봉구,합계,348220.0,24350.0,22867.0,23613,25303.0,16819.0,13559.0,10265,5829.0,2696.0,938.0,231,129.0,96133.0,50466.0
34,,,남자,171238.0,12666.0,11645.0,12255,12757.0,8073.0,6328.0,4547,2172.0,865.0,240.0,68,25.0,49323.0,22318.0
35,,,여자,176982.0,11684.0,11222.0,11358,12546.0,8746.0,7231.0,5718,3657.0,1831.0,698.0,163,104.0,46810.0,28148.0
36,,노원구,합계,567581.0,42548.0,35036.0,37414,41931.0,23312.0,18349.0,14388,8613.0,4094.0,1452.0,384,227.0,156929.0,70819.0
37,,,남자,276333.0,22312.0,17869.0,18458,20799.0,10786.0,8040.0,5815,2928.0,1190.0,335.0,97,72.0,79438.0,29263.0
38,,,여자,291248.0,20236.0,17167.0,18956,21132.0,12526.0,10309.0,8573,5685.0,2904.0,1117.0,287,155.0,77491.0,41556.0
39,,은평구,합계,491476.0,32347.0,32574.0,36008,40266.0,23873.0,19576.0,14649,7871.0,3450.0,1209.0,315,361.0,141195.0,71304.0
40,,,남자,239183.0,16375.0,15885.0,17908,20205.0,10868.0,8796.0,6563,3163.0,1096.0,331.0,82,52.0,70373.0,30951.0
41,,,여자,252293.0,15972.0,16689.0,18100,20061.0,13005.0,10780.0,8086,4708.0,2354.0,878.0,233,309.0,70822.0,40353.0
42,,서대문구,합계,314194.0,23517.0,24297.0,23523,24000.0,14545.0,12780.0,10247,5850.0,2486.0,899.0,281,215.0,95337.0,47303.0
43,,,남자,152510.0,11584.0,12198.0,11779,12022.0,6491.0,5622.0,4409,2266.0,786.0,240.0,88,52.0,47583.0,19954.0
44,,,여자,161684.0,11933.0,12099.0,11744,11978.0,8054.0,7158.0,5838,3584.0,1700.0,659.0,193,163.0,47754.0,27349.0
45,,마포구,합계,379892.0,26248.0,31622.0,35720,34307.0,15049.0,13003.0,10074,5798.0,2640.0,925.0,292,279.0,127897.0,48060.0
46,,,남자,182162.0,12499.0,14694.0,17071,16774.0,6592.0,5667.0,4385,2224.0,871.0,245.0,87,65.0,61038.0,20136.0
47,,,여자,197730.0,13749.0,16928.0,18649,17533.0,8457.0,7336.0,5689,3574.0,1769.0,680.0,205,214.0,66859.0,27924.0
48,,양천구,합계,477739.0,34199.0,29917.0,32220,35167.0,19119.0,13453.0,9524,5617.0,2840.0,985.0,266,153.0,131503.0,51957.0
49,,,남자,236290.0,17983.0,14907.0,16175,17102.0,9542.0,6410.0,4035,1937.0,761.0,228.0,64,34.0,66167.0,23011.0
50,,,여자,241449.0,16216.0,15010.0,16045,18065.0,9577.0,7043.0,5489,3680.0,2079.0,757.0,202,119.0,65336.0,28946.0
51,,강서구,합계,595485.0,39654.0,45771.0,53646,53813.0,26279.0,18365.0,12741,7608.0,3921.0,1399.0,375,201.0,192884.0,70889.0
52,,,남자,290478.0,19802.0,21694.0,27022,27611.0,12632.0,8938.0,5372,2631.0,1064.0,341.0,104,55.0,96129.0,31137.0
53,,,여자,305007.0,19852.0,24077.0,26624,26202.0,13647.0,9427.0,7369,4977.0,2857.0,1058.0,271,146.0,96755.0,39752.0
54,,구로구,합계,417551.0,26616.0,29824.0,35072,37329.0,20552.0,15206.0,10298,5555.0,2380.0,810.0,208,150.0,128841.0,55159.0
55,,,남자,207667.0,13431.0,14521.0,17738,19226.0,10116.0,7440.0,4719,2150.0,692.0,173.0,44,35.0,64916.0,25369.0
56,,,여자,209884.0,13185.0,15303.0,17334,18103.0,10436.0,7766.0,5579,3405.0,1688.0,637.0,164,115.0,63925.0,29790.0
57,,금천구,합계,235386.0,16122.0,18384.0,18822,17995.0,11672.0,8935.0,6053,3203.0,1368.0,458.0,140,147.0,71323.0,31976.0
58,,,남자,119885.0,8289.0,9789.0,10346,9753.0,5696.0,4284.0,2745,1221.0,390.0,114.0,36,54.0,38177.0,14540.0
59,,,여자,115501.0,7833.0,8595.0,8476,8242.0,5976.0,4651.0,3308,1982.0,978.0,344.0,104,93.0,33146.0,17436.0
60,,영등포구,합계,370613.0,23337.0,30612.0,34136,32051.0,17748.0,13716.0,9952,5907.0,2429.0,916.0,290,228.0,120136.0,51186.0
61,,,남자,185200.0,11516.0,14716.0,17501,16535.0,8530.0,6475.0,4478,2424.0,759.0,253.0,91,63.0,60268.0,23073.0
62,,,여자,185413.0,11821.0,15896.0,16635,15516.0,9218.0,7241.0,5474,3483.0,1670.0,663.0,199,165.0,59868.0,28113.0
63,,동작구,합계,400997.0,29154.0,34672.0,35429,34334.0,18866.0,15007.0,10782,6098.0,2739.0,1007.0,302,251.0,133589.0,55052.0
64,,,남자,196267.0,14662.0,17297.0,17786,17357.0,8572.0,6989.0,4882,2382.0,865.0,266.0,79,72.0,67102.0,24107.0
65,,,여자,204730.0,14492.0,17375.0,17643,16977.0,10294.0,8018.0,5900,3716.0,1874.0,741.0,223,179.0,66487.0,30945.0
66,,관악구,합계,506851.0,39635.0,57510.0,51521,43595.0,24225.0,18922.0,12989,6242.0,2742.0,1006.0,264,269.0,192261.0,66659.0
67,,,남자,256143.0,19089.0,30096.0,28179,23598.0,11288.0,8945.0,6113,2517.0,807.0,226.0,60,57.0,100962.0,30013.0
68,,,여자,250708.0,20546.0,27414.0,23342,19997.0,12937.0,9977.0,6876,3725.0,1935.0,780.0,204,212.0,91299.0,36646.0
69,,서초구,합계,447192.0,28108.0,31164.0,35666,39133.0,18569.0,13954.0,8946,5094.0,2678.0,1139.0,333,193.0,134071.0,50906.0
70,,,남자,214673.0,13935.0,14585.0,16409,18010.0,8638.0,6839.0,4350,2106.0,782.0,307.0,82,54.0,62939.0,23158.0
71,,,여자,232519.0,14173.0,16579.0,19257,21123.0,9931.0,7115.0,4596,2988.0,1896.0,832.0,251,139.0,71132.0,27748.0
72,,강남구,합계,567115.0,38888.0,42574.0,47580,48855.0,22899.0,16765.0,10704,6109.0,3276.0,1391.0,441,237.0,177897.0,61822.0
73,,,남자,271604.0,19597.0,19592.0,21817,22470.0,10737.0,8279.0,5087,2384.0,879.0,330.0,104,49.0,83476.0,27849.0
74,,,여자,295511.0,19291.0,22982.0,25763,26385.0,12162.0,8486.0,5617,3725.0,2397.0,1061.0,337,188.0,94421.0,33973.0
75,,송파구,합계,657831.0,44255.0,48619.0,56183,57186.0,27064.0,18670.0,12144,7313.0,3659.0,1455.0,391,222.0,206243.0,70918.0
76,,,남자,320557.0,22465.0,23330.0,26914,27485.0,13518.0,9284.0,5540,2685.0,1010.0,340.0,93,59.0,100194.0,32529.0
77,,,여자,337274.0,21790.0,25289.0,29269,29701.0,13546.0,9386.0,6604,4628.0,2649.0,1115.0,298,163.0,106049.0,38389.0
78,,강동구,합계,444168.0,30239.0,31645.0,34739,36608.0,20287.0,14010.0,9022,5336.0,2877.0,1086.0,299,204.0,133231.0,53121.0
79,,,남자,221118.0,15899.0,16073.0,17580,18495.0,10095.0,6983.0,4091,1821.0,720.0,235.0,67,59.0,68047.0,24071.0
80,,,여자,223050.0,14340.0,15572.0,17159,18113.0,10192.0,7027.0,4931,3515.0,2157.0,851.0,232,145.0,65184.0,29050.0
82,,,남자,1725607.0,127936.0,112087.0,114667,132506.0,90841.0,64984.0,44514,21014.0,6959.0,1840.0,402,340.0,487196.0,230894.0
83,,,여자,1772922.0,112070.0,103106.0,109072,127271.0,100885.0,75385.0,61700,38336.0,19524.0,6544.0,1551,1245.0,451519.0,305170.0
84,,중구,합계,45208.0,2804.0,2883.0,2748,2799.0,3177.0,2629.0,2014,1048.0,521.0,193.0,52,66.0,11234.0,9700.0
85,,,남자,22174.0,1432.0,1520.0,1480,1502.0,1424.0,1183.0,847,378.0,154.0,51.0,17,15.0,5934.0,4069.0
86,,,여자,23034.0,1372.0,1363.0,1268,1297.0,1753.0,1446.0,1167,670.0,367.0,142.0,35,51.0,5300.0,5631.0
87,,서구,합계,112973.0,7555.0,6573.0,6128,7114.0,7893.0,6152.0,4987,2880.0,1336.0,439.0,116,103.0,27370.0,23906.0
88,,,남자,55469.0,3834.0,3412.0,3197,3723.0,3683.0,2741.0,2039,1037.0,338.0,108.0,36,27.0,14166.0,10009.0
89,,,여자,57504.0,3721.0,3161.0,2931,3391.0,4210.0,3411.0,2948,1843.0,998.0,331.0,80,76.0,13204.0,13897.0
90,,동구,합계,89826.0,5440.0,5047.0,5049,5681.0,6682.0,5358.0,4329,2475.0,1019.0,306.0,81,84.0,21217.0,20334.0
91,,,남자,44516.0,2913.0,2648.0,2769,3109.0,3057.0,2379.0,1735,877.0,291.0,94.0,22,22.0,11439.0,8477.0
92,,,여자,45310.0,2527.0,2399.0,2280,2572.0,3625.0,2979.0,2594,1598.0,728.0,212.0,59,62.0,9778.0,11857.0
93,,영도구,합계,126362.0,7691.0,6643.0,6686,7780.0,9196.0,7314.0,5722,2996.0,1338.0,421.0,102,103.0,28800.0,27192.0
94,,,남자,62596.0,4188.0,3639.0,3676,4114.0,4271.0,3217.0,2264,1081.0,312.0,91.0,30,27.0,15617.0,11293.0
95,,,여자,63766.0,3503.0,3004.0,3010,3666.0,4925.0,4097.0,3458,1915.0,1026.0,330.0,72,76.0,13183.0,15899.0
96,,부산진구,합계,376526.0,26616.0,26535.0,26684,28028.0,21183.0,15842.0,12530,6802.0,2881.0,877.0,206,220.0,107863.0,60541.0
97,,,남자,184213.0,13641.0,13204.0,13657,14498.0,9984.0,7179.0,5150,2476.0,787.0,202.0,47,40.0,55000.0,25865.0
98,,,여자,192313.0,12975.0,13331.0,13027,13530.0,11199.0,8663.0,7380,4326.0,2094.0,675.0,159,180.0,52863.0,34676.0
99,,동래구,합계,272745.0,18662.0,16358.0,16452,19604.0,14988.0,10517.0,7692,4326.0,1926.0,638.0,143,119.0,71076.0,40349.0
100,,,남자,133890.0,10108.0,8527.0,8417,9733.0,7130.0,5015.0,3374,1613.0,529.0,139.0,25,25.0,36785.0,17850.0
101,,,여자,138855.0,8554.0,7831.0,8035,9871.0,7858.0,5502.0,4318,2713.0,1397.0,499.0,118,94.0,34291.0,22499.0
102,,남구,합계,278779.0,19584.0,16542.0,16385,19953.0,16354.0,12554.0,9066,4856.0,2018.0,677.0,145,108.0,72464.0,45778.0
103,,,남자,137096.0,10332.0,8811.0,8467,10002.0,7560.0,5757.0,4000,1775.0,524.0,147.0,26,22.0,37612.0,19811.0
104,,,여자,141683.0,9252.0,7731.0,7918,9951.0,8794.0,6797.0,5066,3081.0,1494.0,530.0,119,86.0,34852.0,25967.0
105,,북구,합계,310202.0,23990.0,20371.0,19484,21686.0,14352.0,9947.0,7336,4269.0,1833.0,561.0,131,93.0,85531.0,38522.0
106,,,남자,154276.0,12930.0,10717.0,10035,11219.0,7015.0,4641.0,2988,1357.0,425.0,113.0,22,20.0,44901.0,16581.0
107,,,여자,155926.0,11060.0,9654.0,9449,10467.0,7337.0,5306.0,4348,2912.0,1408.0,448.0,109,73.0,40630.0,21941.0
108,,해운대구,합계,419853.0,28838.0,23916.0,24369,31097.0,19879.0,14602.0,11417,6685.0,3050.0,904.0,182,135.0,108220.0,56854.0
109,,,남자,203814.0,15456.0,12306.0,11823,14782.0,9292.0,6587.0,4693,2353.0,799.0,212.0,47,32.0,54367.0,24015.0
110,,,여자,216039.0,13382.0,11610.0,12546,16315.0,10587.0,8015.0,6724,4332.0,2251.0,692.0,135,103.0,53853.0,32839.0
111,,사하구,합계,334603.0,23556.0,20425.0,21635,24879.0,17355.0,12264.0,8997,4865.0,2253.0,741.0,152,151.0,90495.0,46778.0
112,,,남자,167290.0,12698.0,10939.0,11349,13176.0,8361.0,5812.0,3723,1653.0,593.0,141.0,28,32.0,48162.0,20343.0
113,,,여자,167313.0,10858.0,9486.0,10286,11703.0,8994.0,6452.0,5274,3212.0,1660.0,600.0,124,119.0,42333.0,26435.0
114,,금정구,합계,244624.0,19563.0,16008.0,14092,16139.0,14021.0,10255.0,7712,4513.0,1990.0,662.0,159,170.0,65802.0,39482.0
115,,,남자,120291.0,10529.0,8699.0,7400,8229.0,6684.0,4855.0,3298,1634.0,536.0,142.0,29,33.0,34857.0,17211.0
116,,,여자,124333.0,9034.0,7309.0,6692,7910.0,7337.0,5400.0,4414,2879.0,1454.0,520.0,130,137.0,30945.0,22271.0
117,,강서구,합계,108909.0,5009.0,6159.0,10677,12371.0,4468.0,3117.0,2353,1370.0,728.0,223.0,54,35.0,34216.0,12348.0
118,,,남자,56287.0,2754.0,3097.0,5400,6636.0,2366.0,1550.0,1010,451.0,166.0,48.0,10,9.0,17887.0,5610.0
119,,,여자,52622.0,2255.0,3062.0,5277,5735.0,2102.0,1567.0,1343,919.0,562.0,175.0,44,26.0,16329.0,6738.0
120,,연제구,합계,207268.0,13807.0,12514.0,13215,15649.0,11628.0,8370.0,6282,3397.0,1509.0,455.0,127,64.0,55185.0,31832.0
121,,,남자,101330.0,7390.0,6385.0,6692,7678.0,5508.0,3980.0,2786,1246.0,422.0,108.0,23,16.0,28145.0,14089.0
122,,,여자,105938.0,6417.0,6129.0,6523,7971.0,6120.0,4390.0,3496,2151.0,1087.0,347.0,104,48.0,27040.0,17743.0
123,,수영구,합계,179324.0,11818.0,12184.0,12742,13660.0,11142.0,8076.0,5930,3374.0,1671.0,490.0,100,48.0,50404.0,30831.0
124,,,남자,85573.0,6052.0,6037.0,6299,6863.0,5090.0,3829.0,2612,1259.0,490.0,108.0,22,8.0,25251.0,13418.0
125,,,여자,93751.0,5766.0,6147.0,6443,6797.0,6052.0,4247.0,3318,2115.0,1181.0,382.0,78,40.0,25153.0,17413.0
126,,사상구,합계,232800.0,17255.0,15610.0,15605,16776.0,12199.0,7901.0,5725,2988.0,1217.0,386.0,90,55.0,65246.0,30561.0
127,,,남자,118419.0,9441.0,8368.0,8313,8928.0,5981.0,3776.0,2357,947.0,283.0,62.0,5,7.0,35050.0,13418.0
128,,,여자,114381.0,7814.0,7242.0,7292,7848.0,6218.0,4125.0,3368,2041.0,934.0,324.0,85,48.0,30196.0,17143.0
129,,기장군,합계,158527.0,7818.0,7425.0,11788,16561.0,7209.0,5471.0,4122,2506.0,1193.0,411.0,113,31.0,43592.0,21056.0
130,,,남자,78373.0,4238.0,3778.0,5693,8314.0,3435.0,2483.0,1638,877.0,310.0,74.0,13,5.0,22023.0,8835.0
131,,,여자,80154.0,3580.0,3647.0,6095,8247.0,3774.0,2988.0,2484,1629.0,883.0,337.0,100,26.0,21569.0,12221.0
133,,,남자,1234169.0,98590.0,81921.0,78731,90249.0,52980.0,36574.0,27346,14462.0,4626.0,1156.0,218,135.0,349491.0,137497.0
134,,,여자,1250388.0,82041.0,67375.0,73909,90879.0,60441.0,46165.0,40450,26399.0,12447.0,4081.0,965,456.0,314204.0,191404.0
135,,중구,합계,79712.0,5360.0,5623.0,5907,5820.0,4780.0,4049.0,3214,1932.0,902.0,299.0,81,86.0,22710.0,15343.0
136,,,남자,38720.0,2693.0,2918.0,2944,3031.0,2091.0,1758.0,1338,730.0,258.0,60.0,20,17.0,11586.0,6272.0
137,,,여자,40992.0,2667.0,2705.0,2963,2789.0,2689.0,2291.0,1876,1202.0,644.0,239.0,61,69.0,11124.0,9071.0
138,,동구,합계,351352.0,22494.0,20578.0,23023,27842.0,19292.0,14329.0,11588,6718.0,2723.0,810.0,200,107.0,93937.0,55767.0
139,,,남자,174663.0,12355.0,11267.0,11944,14216.0,8998.0,6326.0,4776,2438.0,796.0,160.0,49,18.0,49782.0,23561.0
140,,,여자,176689.0,10139.0,9311.0,11079,13626.0,10294.0,8003.0,6812,4280.0,1927.0,650.0,151,89.0,44155.0,32206.0
141,,서구,합계,199507.0,14302.0,12699.0,11909,12520.0,12063.0,8602.0,6671,3645.0,1416.0,449.0,104,88.0,51430.0,33038.0
142,,,남자,100760.0,7923.0,7170.0,6570,6844.0,5701.0,3839.0,2703,1285.0,341.0,77.0,19,23.0,28507.0,13988.0
143,,,여자,98747.0,6379.0,5529.0,5339,5676.0,6362.0,4763.0,3968,2360.0,1075.0,372.0,85,65.0,22923.0,19050.0
144,,남구,합계,156433.0,10707.0,9972.0,10224,10707.0,9767.0,7538.0,6359,3928.0,1705.0,490.0,126,61.0,41610.0,29974.0
145,,,남자,76147.0,5741.0,5341.0,5349,5457.0,4402.0,3236.0,2591,1487.0,493.0,109.0,23,16.0,21888.0,12357.0
146,,,여자,80286.0,4966.0,4631.0,4875,5250.0,5365.0,4302.0,3768,2441.0,1212.0,381.0,103,45.0,19722.0,17617.0
147,,북구,합계,440383.0,33004.0,26210.0,26807,32871.0,17832.0,13019.0,10767,6140.0,2435.0,724.0,165,74.0,118892.0,51156.0
148,,,남자,220247.0,18003.0,14370.0,13795,16227.0,8228.0,5722.0,4339,2126.0,611.0,146.0,25,18.0,62395.0,21215.0
149,,,여자,220136.0,15001.0,11840.0,13012,16644.0,9604.0,7297.0,6428,4014.0,1824.0,578.0,140,56.0,56497.0,29941.0
150,,수성구,합계,447011.0,34373.0,24123.0,21530,28132.0,18506.0,13898.0,11648,7657.0,3334.0,1072.0,234,82.0,108158.0,56431.0
151,,,남자,218317.0,18890.0,13159.0,10717,12798.0,8472.0,6163.0,4810,2762.0,950.0,284.0,39,21.0,55564.0,23501.0
152,,,여자,228694.0,15483.0,10964.0,10813,15334.0,10034.0,7735.0,6838,4895.0,2384.0,788.0,195,61.0,52594.0,32930.0
153,,달서구,합계,591891.0,46800.0,37533.0,36507,43274.0,22849.0,15521.0,12522,7671.0,3185.0,970.0,192,67.0,164114.0,62977.0
154,,,남자,294121.0,25322.0,20759.0,18894,21357.0,10970.0,6934.0,4922,2574.0,827.0,233.0,30,13.0,86332.0,26503.0
155,,,여자,297770.0,21478.0,16774.0,17613,21917.0,11879.0,8587.0,7600,5097.0,2358.0,737.0,162,54.0,77782.0,36474.0
156,,달성군,합계,218268.0,13591.0,12558.0,16733,19962.0,8332.0,5783.0,5027,3170.0,1373.0,423.0,81,26.0,62844.0,24215.0
157,,,남자,111194.0,7663.0,6937.0,8518,10319.0,4118.0,2596.0,1867,1060.0,350.0,87.0,13,9.0,33437.0,10100.0
158,,,여자,107074.0,5928.0,5621.0,8215,9643.0,4214.0,3187.0,3160,2110.0,1023.0,336.0,68,17.0,29407.0,14115.0
160,,,남자,1477671.0,110587.0,101382.0,107631,123778.0,52795.0,38397.0,26061,13750.0,5080.0,1564.0,417,197.0,443378.0,138261.0
161,,,여자,1465398.0,100340.0,94313.0,101539,117195.0,55218.0,45270.0,37881,26449.0,14077.0,5235.0,1307,557.0,413387.0,185994.0
162,,중구,합계,115249.0,6212.0,6580.0,8221,10389.0,5227.0,4270.0,3034,1809.0,869.0,359.0,111,58.0,31402.0,15737.0
163,,,남자,59839.0,3247.0,3577.0,4334,5513.0,2493.0,2035.0,1297,665.0,240.0,110.0,35,19.0,16671.0,6894.0
164,,,여자,55410.0,2965.0,3003.0,3887,4876.0,2734.0,2235.0,1737,1144.0,629.0,249.0,76,39.0,14731.0,8843.0
